"","Treatment Order","Faster than Boundary"
"1",1,0
"2",1,1
"3",1,1
"4",1,0
"5",0,1
"6",1,0
"7",1,0
"8",0,0
"9",0,1
"10",1,1
"11",0,0
"12",1,0
"13",0,0
"14",1,1
"15",1,1
"16",0,0
"17",0,1
"18",0,1
"19",0,1
"20",1,0
"21",0,1
"22",0,0
"23",1,1
"24",0,0
"25",0,1
"26",1,0
"27",1,0
"28",1,0
"29",1,1
"30",1,1
"31",1,1
"32",0,1
"33",1,1
"34",1,1
"35",0,1
"36",0,0
"37",0,1
"38",0,1
"39",1,1
"40",0,1
"41",1,1
"42",0,0
"43",0,0
"44",1,0
"45",1,1
"46",1,1
"47",1,1
"48",0,1
"49",1,1
"50",1,1
"51",0,1
"52",1,0
"53",1,1
"54",1,1
"55",0,1
"56",0,0
